make_model,body_type,price,vat,km,registration,hp,previous_owners,make,model,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,air_cond,bluetooth,age,upholstery_type,co2_emission
Audi A1,Compact,18880,VAT deductible,7021,04/2018,70.0,1,Audi,A1,Blue,Metallic,5.0,5.0,Automatic,929.0,1180.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,Air conditioning,Bluetooth,1,Cloth,102.0
Audi A1,Compact,18880,VAT deductible,30952,04/2016,92.0,1,Audi,A1,Black,Metallic,5.0,4.0,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,5.2,6.7,4.4,Air conditioning,Bluetooth,3,Part/Full Leather,123.0
Audi A1,Sedans,18880,VAT deductible,33991,04/2016,92.0,1,Audi,A1,White,Metallic,4.0,4.0,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,5.2,6.7,4.4,Air conditioning,Bluetooth,3,Part/Full Leather,104.0
Audi A1,Sedans,18870,VAT deductible,35800,04/2017,66.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,3.8,4.3,3.5,Air conditioning,Bluetooth,2,Cloth,99.0
Audi A1,Sedans,18850,VAT deductible,7672,05/2018,85.0,1,Audi,A1,Silver,Metallic,5.0,4.0,Automatic,1598.0,1630.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,Air conditioning,Radio,1,Part/Full Leather,97.0
Audi A1,Sedans,18500,VAT deductible,13406,05/2018,85.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.6,3.3,Air conditioning,Bluetooth,1,Cloth,99.0
Audi A1,Compact,18870,VAT deductible,8430,07/2018,70.0,1,Audi,A1,Blue,Metallic,5.0,4.0,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,Air conditioning,Bluetooth,1,Cloth,102.0
Audi A1,Compact,18497,VAT deductible,40488,03/2016,85.0,1,Audi,A1,Red,Metallic,5.0,5.0,Automatic,1598.0,1250.0,front,Diesel,5.0,Germany,4.0,4.8,3.5,Air conditioning,Bluetooth,3,Cloth,106.0
Audi A1,Compact,18490,VAT deductible,24200,05/2017,66.0,2,Audi,A1,Grey,Metallic,5.0,4.0,Automatic,1422.0,1195.0,front,Diesel,7.0,Germany,4.1,4.6,3.8,Air conditioning,Bluetooth,2,Cloth,108.0
Audi A1,Compact,18490,VAT deductible,26500,01/2017,66.0,1,Audi,A1,Brown,Metallic,5.0,5.0,Automatic,1422.0,1180.0,front,Diesel,7.0,Germany,4.0,4.4,3.7,Air conditioning,Bluetooth,2,Cloth,104.0
Audi A1,Compact,18490,VAT deductible,58806,03/2016,71.0,1,Audi,A1,Black,Metallic,5.0,4.0,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,Air conditioning,On-board computer,3,Cloth,103.0
Audi A1,Sedans,18500,Price negotiable,39000,03/2016,85.0,1,Audi,A1,White,Metallic,3.0,4.0,Automatic,1598.0,1250.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,Electrical side mirrors,Bluetooth,3,Cloth,99.0
Audi A1,Sedans,18490,VAT deductible,16700,05/2017,92.0,1,Audi,A1,Red,Metallic,5.0,4.0,Automatic,1395.0,1215.0,front,Benzin,7.0,Germany,5.1,6.3,4.4,Air conditioning,Bluetooth,2,Cloth,117.0
Audi A1,Sedans,18490,VAT deductible,41900,04/2016,92.0,1,Audi,A1,White,Metallic,3.0,4.0,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,5.1,6.6,4.3,Air conditioning,Bluetooth,3,Part/Full Leather,121.0
Audi A1,Compact,18480,VAT deductible,15093,07/2016,92.0,1,Audi,A1,Black,Metallic,4.0,5.0,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,Air conditioning,Bluetooth,3,Cloth,112.0
Audi A1,Sedans,18480,VAT deductible,5211,02/2018,66.0,1,Audi,A1,Red,Metallic,5.0,5.0,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.0,4.5,3.7,Air conditioning,Bluetooth,1,Cloth,104.0
